dot_number,company_name,city,state,zip,total_violations,driver_violations,vehicle_violations,inspection_date
3551730,TRANSNATIONAL EXPERTS INC,MOKENA,IL,60448,1,1,0,20260323
2703604,NICKS NURSERY LLC,SUN VALLEY,CA,91352,1,0,1,20260323
2675364,P&Z WASTE MANAGEMENT LLC,SAN JOSE,CA,95124,1,0,1,20260323
3636692,KARSA EXPRESS INC,MORENO VALLEY,CA,92551,1,1,0,20260323
1244207,GURMAN TRUCKING INC,SCHAUMBURG,IL,60173,1,1,0,20260323
4044140,4 BROTHERS TRANSPORT INC,CANOGA PARK,CA,91306,1,1,0,20260323
2398261,AWB TRANSPORT INC,KATY,TX,77449,1,1,0,20260323
4010951,G PHILLY LOGISTICS LLC,PAINESVILLE,OH,44077,1,0,1,20260323
28406,C R ENGLAND INC,SALT LAKE CITY,UT,84120,1,0,1,20260323
973417,OCTAGON FREIGHT LLC,ELK GROVE VILLAGE,IL,60007,1,0,1,20260323
707789,SALSON LOGISTICS INC,NEWARK,NJ,07114,1,1,0,20260323
3945076,JCML LOGISTICS LLC,CHULA VISTA,CA,91911,1,0,1,20260323
4181584,BIGS&KAES LOGISTICS LLC,TUCKER,GA,30084,1,0,1,20260323
1908100,ALLIED FREIGHT SYSTEMS INC,FONTANA,CA,92335,1,0,1,20260323
3349305,EG MEAT AND PROVISION INC,COVINA,CA,91724,1,0,1,20260323
511412,WESTERN EXPRESS INC,NASHVILLE,TN,37209,1,1,0,20260323
2765795,T&S CORPORATION,ARCADIA,CA,91007,1,0,1,20260323
3036781,ELITE SAND & GRAVEL INC,MANTECA,CA,95337,1,1,0,20260323
804262,ROTBERGS HUMBOLDT ENTERPRISES INC,REDWAY,CA,95560,1,0,1,20260323
281321,OAKLEY TRANSPORT INC,LAKE WALES,FL,33859,1,0,1,20260323
4354349,AM TRUCKING CORP,LOS ANGELES,CA,90059,1,0,1,20260323
4407290,KANG ROADLINE INC,SACRAMENTO,CA,95834,1,0,1,20260323
4062621,ISSAC & NAOMI LLC,SAN JOSE,CA,95117,1,0,1,20260323
3601006,RAJA SAHIB TRUCKING CORPORATIONS,HAYWARD,CA,94544,1,0,1,20260323
3329399,VALFREIGHT INC,OAKLAND,CA,94612,1,0,1,20260323
3164054,AS CARGO LLC,NAPERVILLE,IL,60563,1,0,1,20260323
3893659,ADSA TRUCKING INC,SOUTH GATE,CA,90280,1,1,0,20260323
4469238,DH LOGISTICS LLC,PLAINFIELD,IL,60544,1,0,1,20260323
3819165,EXPEDITED SOLUTIONS LLC,RIVES JCT,MI,49277,1,0,1,20260323
4452721,SMT ACQUISITION LLC,SAINT JOSEPH,MO,64506,1,1,0,20260323
1617300,JORDAN TRIEST,POWERS,MI,49874,1,1,0,20260323
2019394,T AND T CONTRACTING,ALLEN PARK,MI,48101,1,1,0,20260323
1642360,AUTOLINX EXPRESS INC,MILTON,ON,L9T 3H5,1,1,0,20260323
4449324,CARNEGIE FOOD GROUP LLC,WILLOUGHBY HILLS,OH,44092,1,0,1,20260323
646835,MOON STAR EXPRESS LLC,BELLEVILLE,MI,48111,1,1,0,20260323
3530810,GROUND HOGGER LLC,WEST FARGO,ND,58078,1,0,1,20260323
505505,ANLAAN CORPORATION,GRAND HAVEN,MI,49417,1,1,0,20260323
1245442,MICHIGAN BARK PRODUCTS INC,WEST BRANCH,MI,48661,1,1,0,20260323
1726248,NOBIS AGRI SERVICE,PLAINWELL,MI,49080,1,1,0,20260323
1721133,AGGRESSIVE TOOL AND DIE INCORPORATED,COOPERSVILLE,MI,49404,1,1,0,20260323
1367729,HAMMER TRUCKING INC,SALINE,MI,48176,1,0,1,20260323
2406716,KMR TRANSPORT LLC,KALAMAZOO,MI,49048,1,0,1,20260323
3799633,MI TRUCKER INC,CANTON,MI,48188,1,0,1,20260323
2494043,RISE EXPRESS INC,PLAINFIELD,IL,60585,1,0,1,20260323
4518453,FLORES TRUCKING LLC,GRAND ISLAND,NE,68803,1,0,0,20260323
1947663,BLUESTAR SERVICES LLC,ROSELLE,IL,60172,1,0,0,20260323
92693,BENNETT MOTOR EXPRESS LLC,MCDONOUGH,GA,30253-0569,1,0,0,20260323
332271,ARPS RED-E MIX INC,FREMONT,NE,68025,1,0,0,20260323
4370703,MILLER CUSTOM SPRAYING & TRUCKING LLC,HOLDREGE,NE,68949-1667,1,0,0,20260323
36431,TRIMAC TRANSPORTATION INC,CALGARY,AB,T2R 0C5,1,0,0,20260323
1719707,ALFA EXPRESS INC,SANDY,UT,84070,1,0,0,20260323
3839727,CREEKSIDE REDI MIX LLC,BURWELL,NE,68823,1,0,0,20260323
4200465,SAND CREEK TRUCKING LLC,NEWPORT,NE,68759,1,0,0,20260323
3781881,INTERSTATE HAULING LLC,VANCOUVER,WA,98686,1,0,0,20260323
3372403,AD FREIGHT EXPRESS INC,WEST DUNDEE,IL,60118,1,0,0,20260323
3831673,SHIFFLET TRUCKING LLC,CAMBRIDGE,NE,69022,1,0,0,20260323
2018540,OXFORD CONSTRUCTION CO,PAPILLION,NE,68133,1,0,0,20260323
3201461,SAFETY TRANSPORT LLC,KANSAS CITY,KS,66109,1,0,0,20260323
3396472,BEAUPARLANT TRUCKING LLC,MILLVILLE,NJ,08332,1,0,1,20260323
226518,MOOVE NA TRANSPORT INC,SUPERIOR,WI,548800566,1,0,1,20260323
2156343,VS CARRIERS INC,LAKE IN THE HILLS,IL,60156,1,1,0,20260323
2063294,RLE EQUIPMENT INC,MOSCOW,PA,18444,1,1,0,20260323
1979984,IT WORKS,ALLENTOWN,PA,18103,1,1,0,20260323
4243126,BLACKSTONE TRANSPORT LLC,LOUDON,TN,37774,1,1,0,20260323
648931,COIL TRANS TRUCKING INC,WINCHESTER,KY,40391,1,0,1,20260323
3327190,FRONTERA LOS 3AMIGOS LOGISTICS LLC,LOUISVILLE,KY,40218-4507,1,0,1,20260323
299073,RYDER TRANSPORTATION SOLUTIONS LLC,CORAL GABLES,FL,33134,1,0,1,20260323
65769,HIRSCHBACH,DUBUQUE,IA,52001,1,0,1,20260323
3895596,DD88 DELIVERY LLC,PHILADELPHIA,PA,19116,1,1,0,20260323
911163,BOB EVANS TRANSPORTATION COMPANY LLC,SPRINGFIELD,OH,45502,1,1,0,20260323
487665,CMT INC,THORN HILL,TN,37881,1,1,0,20260323
3877965,NAZMEN TRANSPORT LLC,COLUMBUS,OH,43224,1,0,1,20260323
3436916,I LOAD LOGISTIC LIMITED LIABILITY PARTNERSHIP,BOWLING GREEN,KY,42101,1,1,0,20260323
3162922,FJ CARRIER LOGISTICS LLC,LAREDO,TX,78045,1,0,1,20260323
1945697,CLIPPER TRANSPORTATION INC,GLENDALE,CA,91206,1,1,0,20260323
590034,GARY GOODE TRUCKING LLC,NABB,IN,47147,1,0,1,20260323
123611,INDIAN RIVER TRANSPORT CO,WINTER HAVEN,FL,33884,1,1,0,20260323
325981,BUILDERS FIRSTSOURCE,RALEIGH,NC,27609,1,0,1,20260323
305173,CORRUGATED LOGISTICS LLC,CONYERS,GA,30013,1,1,0,20260323
3478456,BAJWA HAULING INC,BOLTON,ON,L7E 5C1,1,1,0,20260323
774374,MIDWEST LOGISTICS SYSTEMS LTD,CELINA,OH,45822,1,0,1,20260323
976560,HMD TRUCKING INC,CHICAGO RIDGE,IL,60415,1,0,1,20260323
334451,WASTE MANAGEMENT OF CAROLINAS INC,CONWAY,SC,29527,1,1,0,20260323
402998,FORWARD DISTRIBUTING,STANDISH,MI,48658,1,0,1,20260323
4002609,RIV & GOD LLC,CHICAGO,IL,60618,1,1,0,20260323
3037174,ROAD XPRESS LTD,BOLTON,ON,L7E 3B4,1,0,1,20260323
4358682,JMT SANITATION LLC,HARBOR SPRINGS,MI,49740,1,1,0,20260323
112071,LOUIS PADNOS IRON & METAL CO,HOLLAND,MI,49423,1,0,1,20260323
374,MOHAWK CARPET TRANSPORTATION OF GEORGIA LLC,CALHOUN,GA,30701,1,1,0,20260323
3953911,2444104 ALBERTA LTD,CALGARY,AB,T3J 5M3,1,0,1,20260323
874714,ALL STAR LIMOUSINE INC,TROY,MI,48084,1,0,1,20260323
38111,EVANS DELIVERY COMPANY INC,SCHUYLKILL HAVEN,PA,17972,1,1,0,20260323
2365308,RTS HOLDINGS LLC,RANDOLPH,MA,02368,1,1,0,20260323
2123265,BROTHERS TRANSPORT LLC,NICHOLASVILLE,KY,40356,1,1,0,20260323
790261,URS MIDWEST LLC,ROMULUS,MI,48174,1,1,0,20260323
2818781,CONESTOGA FREIGHT CARRIERS INC,MISSISSAUGA,ON,L4W 5K4,1,1,0,20260323
856882,BRINK-O TRANSPORTATION INC,HOLLAND,MI,49423,1,1,0,20260323
1453340,MORRIS MOTOR SERVICE INC,WANATAH,IN,46390,1,1,0,20260323
3152395,SIMOS FOOD SUPPLIES,BERKLEY,MI,48072,1,0,1,20260323
604915,SPADER FREIGHT SERVICES INC,CLYDE,OH,43410,1,1,0,20260323
2150281,ALL BENDING AND TUBULAR PRODUCTS,COOPERSVILLE,MI,49404,1,1,0,20260323
3124049,AARON CARRIERS INC,CLOVIS,CA,93619,1,1,0,20260323
681530,FISHERMANS FLEET INC,MALDEN,MA,02148,1,0,1,20260323
4248269,UM CARGO INC,NAPERVILLE,IL,60565,1,1,0,20260323
3551272,CT COMMERCIAL PAPER LLC,OAKBORO,NC,28129,1,1,0,20260323
129750,CHILDERS TRANSPORT INC,WHITESBURG,KY,41858-1247,1,0,1,20260323
3815192,SOLID AVENUE TRANSPORT LLC,LOUISVILLE,KY,40258,1,1,0,20260323
4365965,TRISTAN BARNETT,HARDY,AR,72542,1,1,0,20260323
3082114,INSIGHT GLOBAL LOGISTICS LTD,MISSISSAUGA,ON,L4W 1J3,1,0,1,20260323
1107071,WESTMORELAND TRANSPORTATION INC,LEAMINGTON,ON,N8H 3V5,1,0,1,20260323
3905828,C & E TIMBER LLC,NEWCOMB,TN,37819,1,1,0,20260323
2350063,SERVICE TRANSPORTATION INC,WALLACE,SC,29596,1,1,0,20260323
2872165,UNIVERSAL TRANSPORT II LLC,ROMULUS,MI,48174,1,0,1,20260323
36684,AVERITT,COOKEVILLE,TN,38502-3166,1,0,1,20260323
3874688,E&J BROTHERS INC,MAINEVILLE,OH,45039,1,1,0,20260323
311537,BROWN FOODSERVICE INC,LOUISA,KY,41230,1,0,1,20260323
2115871,BESSLER AUTO PARTS,WILDER,KY,41076-9069,1,0,1,20260323
2562511,UNIQUE FREIGHT CARRIERS INC,BLUE ISLAND,IL,60406,1,0,1,20260323
1243338,P&S TRANSPORTATION,ENSLEY,AL,35218,1,0,1,20260323
185183,"J.S. HELWIG & SON, L.L.C.",TERRELL,TX,75160,1,0,1,20260323
105002,BARDSTOWN ASPHALT CO INC,BARDSTOWN,KY,40004,1,1,0,20260323
93772,PERFECTION DISTRIBUTION LLC,FORT WAYNE,IN,46809,1,0,1,20260323
2589042,MAHANT TRANSPORTATION LLC,AVON,IN,46123,1,1,0,20260323
3868989,TORONTO COAST TRUCKING LTD,BOLTON,ON,L7E 1G7,1,0,1,20260323
2512940,SILVER CITY EXPRESS LLC,ST LOUIS,MO,63129,1,0,1,20260323
4172035,DARRELL WALTERS AND JAMES TODD WALTERS,HODGENVILLE,KY,42748,1,1,0,20260323
3845130,PREMIUM UTILITY CONTRACTOR INC,BELMONT,OH,43718,1,1,0,20260323
3314017,FLEX STAR CERTIFIED ROOFING INSTALLERS INC,HARTFORD CITY,IN,47348,1,1,0,20260323
4364493,PREMIER SPLICING LLC,GROVE CITY,OH,43123-9539,1,1,0,20260323
71342,COMMERCIAL TRANSPORT INCORPORATED,BELLEVILLE,IL,62220,1,1,0,20260323
2258095,EXCEL TRUCKING LLC,GROVE CITY,OH,43123,1,0,1,20260323
3837513,HWS TRANSPORT LLC,HUDSON,IN,46747,1,0,1,20260323
2578534,ROAD KING EXPRESS INC,BOLINGBROOK,IL,60440,1,1,0,20260323
134697,HEARTLAND EXPRESS,NORTH LIBERTY,IA,52317,1,0,1,20260323
446286,STAR VAN SYSTEMS INC,STONEY CREEK,ON,L8E 5P6,1,0,1,20260323
4516754,A&D TOWING LLC,LOUISVILLE,KY,40214,1,1,0,20260323
419801,ATLAS METAL PRODUCTS CO INC,LOUISVILLE,KY,40229-2100,1,1,0,20260323
820305,GLASSCOCK TRANSPORT INC,HARDINSBURG,KY,40143,1,0,1,20260323
473238,2-J SUPPLY COMPANY INC,DAYTON,OH,45404,1,1,0,20260323
3788837,ACE CANADA TRANSPORT LTD,SASKATOON,SK,S7L 6N7,1,0,1,20260323
376418,LARRY D LIEVENS,HILLSDALE,IL,61257,1,0,1,20260323
452325,WOODY BOGLER TRUCKING COMPANY,GERALD,MO,63037,1,0,1,20260323
3084003,TL SCHWAB TRANSPORT LLC,DELEVAN,NY,14042,1,0,1,20260323
3670684,BJS EXPRESS TRANSPORT LLC,AUSTELL,GA,30106,1,0,1,20260323
270150,PERFORMANCE TRANSPORTATION LLC,RICHMOND,VA,23238,1,1,0,20260323
87124,BLUE SPRINGS TRUCK LINE INC,BATES CITY,MO,64011-8081,1,0,1,20260323
2838036,S J EATON PLUMBING & HEATING,SELINSGROVE,PA,17870,1,1,0,20260323
605674,HM SEFA TRANSPORTATION LLC,LEXINGTON,SC,29073,1,1,0,20260323
3915450,QXL EXPRESS INC,ALHAMBRA,CA,91801,1,0,1,20260323
751209,FINSTER COURIER INCORPORATED,PENNSAUKEN,NJ,08110,1,1,0,20260323
4233510,HONEA PATH LOGISTICS LLC,HONEA PATH,SC,29654,1,1,0,20260323
1823513,MI COSTENITA TRANSPORTATION SERVICES LLC,ALSIP,IL,60803,1,1,0,20260323
94646,DUKE ENERGY BUSINESS SERVICES LLC,CHARLOTTE,NC,28202-1006,1,1,0,20260323
1437298,AL CALHOUN,CHARLES CITY,IA,50616,1,1,0,20260323
2548036,ROCKY MOUNTAIN FENCING AND HAY GRINDING INC,BAINVILLE,MT,59212,1,0,1,20260323
754530,R&S CONCRETE PAVING & SITE CONTRACTORS,BRISTOL,PA,19007,1,0,1,20260323
130071,CALLANAN INDUSTRIES INC,ALBANY,NY,12211,1,0,1,20260323
2192113,ECC MOVERS LLC,NORTH TONAWANDA,NY,14120,1,0,1,20260323
30695,COCA-COLA BEVERAGES NORTH EAST INC,BEDFORD,NH,03110-6913,1,0,1,20260323
1217052,ENVIRONMENTAL COMPLIANCE CONSULTANTS INC,OKLAHOMA CITY,OK,73128,1,0,1,20260323
3051100,ARM TRANSPORT LLC,GOODING,ID,83330,1,1,0,20260323
2829657,GURAYA AUTO TRANSPORT LLC,HILLIARD,OH,43026,1,0,1,20260323
3130870,BRANSON TRUCKING LLC,GRAND RONDE,OR,97347,1,0,1,20260323
3105497,SMITH BROTHERS LOGGING INC,BERRY,AL,35546,1,1,0,20260323
3350694,121 DISPOSAL COMPANY LLC,AUBURN,AL,36830,1,1,0,20260323
3741881,LOTHROP COMPANIES INC,MALDEN,MA,02148-1426,1,1,0,20260323
3165445,DIAMOND EQUIPMENT INC,MIDDLEBORO,MA,02346-3744,1,1,0,20260323
1828680,OLDE TOWN FUEL CO INC,GROVELAND,MA,01834,1,0,1,20260323
1333791,RICHELIEU AMERICA LTD,MOUNT CLEMONS,MI,48043,1,1,0,20260323
4090585,OASIS TOWING LLC,BURLINGTON,MA,01803,1,1,0,20260323
446997,NAPA TRANSPORTATION INC,MECHANICSBURG,PA,17055-0959,1,0,1,20260323
285474,CHANG & SONS ENTERPRISES INC,WHATELY,MA,01093,1,1,0,20260323
154907,EVERETT A RUSSELL III,METHUEN,MA,01844,1,1,0,20260323
3446740,WIN WASTE INNOVATIONS OF NORTHERN NEW ENGLAND INC,LONDONDERRY,NH,03053,1,1,0,20260323
1747691,GOLD STAR FOODS INC,ONTARIO,CA,91761,1,0,1,20260323
395161,PRESS GLASS INC,STONEVILLE,NC,27048,1,0,1,20260323
962087,BFI WASTE SERVICES OF PENNSYLVANIA LLC,PHOENIX,AZ,85054,1,1,0,20260323
714097,J AND D TRUCKING INC,VINELAND,NJ,08360,1,1,0,20260323
273818,COVENANT TRANSPORT LLC,CHATTANOOGA,TN,37419,1,1,0,20260323
2491030,AGY LOGISTICS 1 INC,CHESTERTON,IN,46304,1,1,0,20260323
3982068,BCWJ INC,CRETE,IL,60417,1,1,0,20260323
2106946,DOUGLAS A MILLHEIM,HUGHESVILLE,PA,17737,1,0,1,20260323
3830471,SAGGEZZA TRANSPORT SERVICE LLC,HAGERSTOWN,MD,21740,1,0,1,20260323
448255,GANOE PAVING INC,GREENCASTLE,PA,17225,1,0,1,20260323
547497,CLASSIC TRANSPORT INC,ELKHART,IN,46517,1,0,1,20260323
4082794,JESUS EDUARDO REYES GUZMAN,SAN DIEGO,CA,92154,1,0,1,20260323
2566023,SIN SON LOGISTICS INC,SAN DIEGO,CA,92154,1,0,1,20260323
3665667,MIGUEL JIMENEZ NAVARRO,PERRIS,CA,92571,1,0,1,20260323
2864600,QUALITY TANK SA DE CV,CADEREYTA JIM,NL,67483,1,0,1,20260323
2334111,EL EXPRESO GROUP LLC,HOUSTON,TX,77020,1,1,0,20260323
760583,SUPERIOR TRANSPORTATION INC,N CHARLESTON,SC,29406,1,1,0,20260323
3100116,DIVISION EIGHT INC,GREENSBORO,NC,27405-4308,1,1,0,20260323
322521,NORFOLK SOUTHERN RAILWAY COMPANY,ATLANTA,GA,30308,1,0,1,20260323
3965759,DR23 LOGISTIC INC,HIALEAH,FL,33016,1,0,1,20260323
1747790,RANDOLPH TRUCKING LLC,GAFFNEY,SC,29341,1,1,0,20260323
1312675,VISION INTERNATIONAL INC,AURORA,IL,60504,1,0,1,20260323
2839503,AGP TRANSPORT LLC,SHEPHERDSVILLE,KY,40165,1,0,1,20260323
3546650,FAIR AND FAST LOGISTICS INC,OSWEGO,IL,60543,1,1,0,20260323
2840006,FORZA NAFTA SERVICES SA DE CV,NUEVO LAREDO,TA,88284,1,1,0,20260323
344050,WASTE MANAGEMENT OF PENNSYLVANIA INC,GILBERTSVILLE,PA,19525,1,0,1,20260323
599145,SCHMUHL BROTHERS INC,KANSAS CITY,KS,66105,1,0,1,20260323
3495504,4 SEASONS TRANSPORT LLC,DENVER,CO,80249,1,1,0,20260323
2416643,VV LOGISTICS SOLUTIONS INC,MELROSE PARK,IL,60160,1,1,0,20260323
4284493,PEGASUZ TRANSPORTATION LLC,LANCASTER,PA,17602,1,0,1,20260323
3505426,JJ SPEEDY EXPRESS CORPORATION,JAMAICA,NY,11434,1,1,0,20260323
3766949,MADDEN GULF COAST LLC,DENHAM SPRINGS,LA,70726,1,0,1,20260323
4267979,IASKK INC,NEWARK,TX,76071,1,0,1,20260323
766523,MARK LATHAM EXCAVATION INC,BEND,OR,97702,1,1,0,20260323
2912734,SORRENTO LUMBER CO INC,SORRENTO,LA,70778,1,0,1,20260323
2458096,RANDALL WILLIAMS,HEMINGWAY,SC,29554,1,1,0,20260323
273357,MOBILE FOREST PRODUCTS & BIOMASS INC,WHISTLER,AL,36612,1,0,1,20260323
840954,FULTON LOGGING COMPANY LLC,FULTON,AL,36446,1,0,1,20260323
2327764,J HANCOCK TRUCKING LLC,MITCHELL,IN,47446,1,0,1,20260323
1475673,YSIDRO TRUCKING INC,WICHITA,KS,67216,1,1,0,20260323
4195359,BOXHUAL LOGISTICS LLC,BROOKLYN,NY,11224,1,1,0,20260323
3439052,MYTY TRUCKING LLC,GARDEN CITY,KS,67846,1,0,1,20260323
2523942,ALUMINA RAILING AND CUSTOM IRON WORKS INC,CLEVES,OH,45002,1,1,0,20260323
779973,TRANSPORTATION AND CARGO SOLUTIONS S DE RL DE CV,JUAREZ,CI,32701,1,0,1,20260323
706981,ROBERT L GAST INC,COLUMBUS,OH,43220,1,1,0,20260323
4108875,NATHAN TRANSPORTATION LLC,OLATHE,KS,66062,1,0,1,20260323
1717080,THIRD GENERATION ELECTRIC INC,TULSA,OK,74132,1,1,0,20260323
2157737,LAPWIN INC,COLUMBUS,OH,43221,1,1,0,20260323
4117493,WANDERING NOMADS LLC,DENVER,CO,80249,1,1,0,20260323
74481,ROEHL TRANSPORT INC,MARSHFIELD,WI,54449,1,0,1,20260323
2118117,SHADCO LLC,HOME,PA,15747,1,0,1,20260323
